# date, home, score, away, score
2011-12-04 NYG 35 GB  38
2011-12-04 ARI 19 DAL 13
2011-12-04 SF  26 LAR  0
2011-12-04 NO  31 DET 17
2011-12-05 JAC 14 LAC 38
2011-12-08 PIT 14 CLE  3
2011-12-11 WAS 27 NE  34
2011-12-11 NYJ 37 KC  10
2011-12-11 CIN 19 HOU 20
2011-12-11 BAL 24 IND 10
2011-12-11 DET 34 MIN 28
2011-12-11 CAR 23 ATL 31
2011-12-11 MIA 10 PHI 26
2011-12-11 JAC 41 TB  14
2011-12-11 TEN 17 NO  22
2011-12-11 ARI 21 SF  19
2011-12-11 DEN 13 CHI 10
2011-12-11 GB  46 OAK 16
2011-12-11 LAC 37 BUF 10
2011-12-11 DAL 34 NYG 37
2011-12-12 SEA 30 LAR 13
2011-12-15 ATL 41 JAC 14
2011-12-17 TB  15 DAL 31
2011-12-18 LAR 13 CIN 20
2011-12-18 BUF 23 MIA 30
2011-12-18 IND 27 TEN 13
2011-12-18 NYG 10 WAS 23
2011-12-18 CHI 14 SEA 38
2011-12-18 MIN 20 NO  42
2011-12-18 HOU 13 CAR 28
2011-12-18 KC  19 GB  14
2011-12-18 OAK 27 DET 28
2011-12-18 PHI 45 NYJ 19
2011-12-18 ARI 20 CLE 17
2011-12-18 DEN 23 NE  41
2011-12-18 LAC 34 BAL 14
2011-12-19 SF  20 PIT  3
2011-12-22 IND 19 HOU 16
2011-12-24 BUF 40 DEN 14
2011-12-24 NE  27 MIA 24
2011-12-24 BAL 20 CLE 14
2011-12-24 TEN 23 JAC 17
2011-12-24 KC  13 OAK 16
2011-12-24 NYJ 14 NYG 29
2011-12-24 WAS 26 MIN 33
2011-12-24 CAR 48 TB  16
2011-12-24 CIN 23 ARI 16
2011-12-24 PIT 27 LAR  0
2011-12-24 DET 38 LAC 10
2011-12-24 DAL  7 PHI 20
2011-12-24 SEA 17 SF  19
